bounty,disclosed date from current date,reported from to,severity,status,title,upvote
,By jobert to GitLab,Resolved,disclosed 6 years ago,Medium,Users can download old project exports due to unclaimed namespace,10
,By jobert to GitLab,Resolved,disclosed 6 years ago,Medium,Every user can delete public deploy keys,12
,By jobert to GitLab,Resolved,disclosed 6 years ago,Medium,User with guest access can access private merge requests,13
,By jobert to GitLab,Resolved,disclosed 6 years ago,Medium,"Users with guest access can post notes to private merge requests, issues, and snippets",9
,By fransrosen to GitLab,Resolved,,disclosed 6 years ago,Mailgun misconfiguration leads to email snooping and postmaster@-access on email.mg.gitlab.com,28
,By jobert to GitLab,Resolved,disclosed 6 years ago,High,State filter in IssuableFinder allows attacker to delete all issues and merge requests,11
,By jobert to GitLab,Resolved,disclosed 6 years ago,Critical,"Ability to access all user authentication tokens, leads to RCE",56
,By jobert to GitLab,Resolved,disclosed 6 years ago,Critical,"Read files on application server, leads to RCE",100
,By yaworsk to GitLab,Resolved,,disclosed 6 years ago,Insecure 2FA/authentication implementation creates a brute force vulnerability,30
,By jobert to GitLab,Resolved,,disclosed 6 years ago,Boards leak private label names and desciptions,9
,By plazmaz to GitLab,Resolved,,disclosed 6 years ago,XSS On meta tags in profile page,10
,By jobert to GitLab,Resolved,,disclosed 6 years ago,Attacker can extract list of private project's project members,9
,By jobert to GitLab,Resolved,,disclosed 6 years ago,Persistent XSS on public wiki pages,13
,By jobert to GitLab,Resolved,,disclosed 6 years ago,Privilege escalation to access all private groups and repositories,16
,By jobert to GitLab,Resolved,,disclosed 7 years ago,Persistent XSS on public project page,6
,By jobert to GitLab,Resolved,,disclosed 7 years ago,Labels created in private projects are leaked,6
,By jobert to GitLab,Resolved,,disclosed 7 years ago,Attacker can delete (and read) private project webhooks,5
,By jobert to GitLab,Resolved,,disclosed 7 years ago,"Attacker can post notes on private MR, snippets, and issues",5
,By jobert to GitLab,Resolved,,disclosed 7 years ago,Confidential issues leaked in public projects when attached to milestone,4
,By jobert to GitLab,Resolved,,disclosed 7 years ago,Private snippets in public / internal projects leaked though GitLab API,4
,By jobert to GitLab,Resolved,,disclosed 7 years ago,Bypassing password authentication of users that have 2FA enabled,17
,By lukasreschke to HackerOne,Resolved,,disclosed 7 years ago,"External links should use rel=""noopener"" or use the redirect service",6
